"","date","state.abbr","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","dateModified","checkTimeEt","death","dateChecked","hash","state","Positive_Increase"
"77",2020-06-29,"LA",57081,647556,NA,737,NA,NA,NA,79,NA,42225,"6/29/2020 13:00","2020-06-29T13:00:00Z","06/29 09:00",3199,"2020-06-29T13:00:00Z","99e9d734bc4a524d7cff49cc62ae32b55c1f24d9","Louisiana",1014
"78",2020-06-29,"MA",108768,733519,NA,762,11345,138,NA,79,NA,NA,"6/29/2020 10:00","2020-06-29T10:00:00Z","06/29 06:00",8095,"2020-06-29T10:00:00Z","69b0fb8a108e710727fac1a41007cf57e46b6cc2","Massachusetts",114
"79",2020-06-29,"MD",67254,462059,NA,447,10822,160,NA,NA,NA,4979,"6/29/2020 10:00","2020-06-29T10:00:00Z","06/29 06:00",3175,"2020-06-29T10:00:00Z","36713c76dae6e7710ab1d46d8470fe3c6774e791","Maryland",305
"80",2020-06-29,"ME",3219,90304,NA,31,347,8,NA,4,NA,2623,"6/28/2020 23:59","2020-06-28T23:59:00Z","06/28 19:59",105,"2020-06-28T23:59:00Z","f6337a86260b09a48383415ae5fbf3091415cfb9","Maine",34
"81",2020-06-29,"MI",70223,959152,NA,557,NA,193,NA,106,NA,51099,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",6161,"2020-06-29T00:00:00Z","e9cd6627c814bfb89766f0efc0c26cf219afb081","Michigan",505
"82",2020-06-29,"MN",35861,557094,NA,278,4031,140,1249,NA,NA,31225,"6/28/2020 17:00","2020-06-28T17:00:00Z","06/28 13:00",1470,"2020-06-28T17:00:00Z","2b9dbf1f5bdc42e46af621af9326c17f7b0fd0a5","Minnesota",442
"83",2020-06-29,"MO",21043,346363,NA,599,NA,NA,NA,NA,NA,NA,"6/29/2020 15:00","2020-06-29T15:00:00Z","06/29 11:00",998,"2020-06-29T15:00:00Z","00e6b0d036e5ed48359c48cafd7a0c1f8a1677e4","Missouri",508
"84",2020-06-29,"MP",30,8187,NA,NA,NA,NA,NA,NA,NA,19,"6/26/2020 00:22","2020-06-26T00:22:00Z","06/25 20:22",2,"2020-06-26T00:22:00Z","668cff6d1c8e31540b5d23f98fe56cddb924cd97","Northern Mariana Islands",0
"85",2020-06-29,"MS",26567,256955,NA,719,3115,158,NA,93,NA,19388,"6/28/2020 19:00","2020-06-28T19:00:00Z","06/28 15:00",1059,"2020-06-28T19:00:00Z","78eebaafd1c99d00fdf03beaf045a9d45348a2ff","Mississippi",680
"86",2020-06-29,"MT",919,87824,NA,13,100,NA,NA,NA,NA,609,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",22,"2020-06-29T00:00:00Z","6c26cef9f91fe18000baf39b7fd67be3c7d62de3","Montana",48
"87",2020-06-29,"NC",63484,822821,NA,843,NA,NA,NA,NA,NA,45538,"6/28/2020 12:00","2020-06-28T12:00:00Z","06/28 08:00",1325,"2020-06-28T12:00:00Z","14bd3a3002f1f5aa7fcbfa9af212b289733d68e7","North Carolina",1186
"88",2020-06-29,"ND",3539,102152,NA,25,227,NA,NA,NA,NA,3163,"6/29/2020 13:00","2020-06-29T13:00:00Z","06/29 09:00",88,"2020-06-29T13:00:00Z","4f415d49a6c0344555fab87f3c7d51cb26c56362","North Dakota",37
"89",2020-06-29,"NE",18899,156373,NA,117,1316,NA,NA,NA,NA,13322,"6/28/2020 19:55","2020-06-28T19:55:00Z","06/28 15:55",267,"2020-06-28T19:55:00Z","776450c8f886272d7145572468b55c825643b5a2","Nebraska",143
"90",2020-06-29,"NH",5760,112538,NA,34,565,NA,162,NA,NA,4435,"6/29/2020 09:00","2020-06-29T09:00:00Z","06/29 05:00",367,"2020-06-29T09:00:00Z","84bb8d55ffeda9c60bec3fff431175133546998f","New Hampshire",0
"91",2020-06-29,"NJ",171272,1232712,NA,978,19847,225,NA,185,NA,30163,"6/29/2020 13:00","2020-06-29T13:00:00Z","06/29 09:00",14992,"2020-06-29T13:00:00Z","3ec72af4affcc5302c5d93899f452787297ca9c3","New Jersey",395
"92",2020-06-29,"NM",11809,319239,NA,114,1865,NA,NA,NA,NA,5264,"6/29/2020 11:02","2020-06-29T11:02:00Z","06/29 07:02",492,"2020-06-29T11:02:00Z","21dff709d30c74b653af80e25a384928711f2e18","New Mexico",173
"93",2020-06-29,"NV",17894,255123,NA,555,NA,124,NA,65,NA,689,"6/29/2020 11:30","2020-06-29T11:30:00Z","06/29 07:30",504,"2020-06-29T11:30:00Z","72b468d4220931d8469088d8a975eaab6fccc50a","Nevada",562
"94",2020-06-29,"NY",392930,3469983,NA,853,89995,216,NA,136,NA,70435,"6/28/2020 23:59","2020-06-28T23:59:00Z","06/28 19:59",24842,"2020-06-28T23:59:00Z","e6bd5e08e2b590f2cb046870afd40380769067c7","New York",524
"95",2020-06-29,"OH",51046,723336,NA,669,7746,245,1961,115,NA,NA,"6/29/2020 14:00","2020-06-29T14:00:00Z","06/29 10:00",2818,"2020-06-29T14:00:00Z","ae0b21597df40ac0095e0cd1816a54eb9529e5a6","Ohio",743
"96",2020-06-29,"OK",13172,313021,NA,329,1489,134,NA,NA,NA,9587,"6/29/2020 08:00","2020-06-29T08:00:00Z","06/29 04:00",385,"2020-06-29T08:00:00Z","d73e0a91134b902a2c11fd9b34c68dc38a007ab7","Oklahoma",585
"97",2020-06-29,"OR",8485,226648,NA,151,1025,44,NA,25,NA,2700,"6/29/2020 03:01","2020-06-29T03:01:00Z","06/28 23:01",204,"2020-06-29T03:01:00Z","6df67bce55e2866570c52e5ca0695d551aefbe9f","Oregon",171
"98",2020-06-29,"PA",85988,666901,NA,635,NA,NA,NA,111,NA,67070,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",6614,"2020-06-29T00:00:00Z","9dbee707a0d83d73f3b7f903d80fcb4307266d8b","Pennsylvania",618
"99",2020-06-29,"PR",7250,NA,NA,104,NA,8,NA,1,NA,NA,"6/29/2020 06:30","2020-06-29T06:30:00Z","06/29 02:30",153,"2020-06-29T06:30:00Z","c7a445a1cedf9d0ba21a8ab85d45c21a0e77770b","Puerto Rico",215
"100",2020-06-29,"RI",16764,221756,NA,73,1995,15,NA,14,NA,1627,"6/29/2020 12:00","2020-06-29T12:00:00Z","06/29 08:00",946,"2020-06-29T12:00:00Z","812253cd0b7ac14071bd019ff4a38e121bb31c78","Rhode Island",49
"101",2020-06-29,"SC",34644,334661,NA,1032,2622,NA,NA,NA,NA,13456,"6/28/2020 23:59","2020-06-28T23:59:00Z","06/28 19:59",720,"2020-06-28T23:59:00Z","3a2b40c98746107931ba1dc56f7f8860508cf279","South Carolina",1755
